Type,Title,Description,Inclusion_tips,Card 1 ID,Card 2 ID,Card 3 ID,Card 4 ID,Card 5 ID,Card 6 ID,Card 7 ID,Card 8 ID,Card 9 ID,Card 10 ID,Card 11 ID
Action,Check Completeness,,,14,,,,,,,,,,
Action,Suggestions,,,19,,,,,,,,,,
Action,Reset board status,,,998,,,,,,,,,,
,,,,,,,,,,,,,,
Technique,JIGSAW - PHASE I (EXPERT GROUPS),"In Phase I of a Jigsaw, the teacher presents the general topic and then splits the learners into groups (so called Expert Groups), each of which corresponds to a specific sub-topic. 
For example, if the topic is World War 1, the groups might respectively be devoted to the causes (G1), the main events (G2), the resolution of the conflict (G3) and its consequences (G4). Each group is expected to study selected materials concerning their sub-topic, prepare a presentation and give a talk to the other groups.","All students will play, at least once, the role of ""experts"", this strengthens their self-efficacy.
The strong interdependence of team members and the change in teams configuration between Phase I and II foster creation of new social bonds, but when students are new to the classroom they might need to consolidate social bonds, rather than increase their number.",22,,,,,,,,,,
Technique,JIGSAW - PHASE II (JIGSAW GROUPS),"In Phase II of a Jigsaw, the Phase I groups (Expert Groups) are split up and reformed into new groups, each comprising at least one member from each of Expert Groups. Each of the new groups (called Jigsaw Groups) must write a text on the general topic and then present it to the others in a plenary session.",,37,,,,,,,,,,
Technique,PYRAMID (FOR LIST PREPARATION) - PHASE I,"In Phase I of a Pyramid, the teacher presents a topic and provides individual learners with material for them to study and then asks them, individually or in pairs, to generate a list of items. These could be, for example, questions that should be asked in an interview with an expert, or the most important aspects of a given topic. ","It favours a gradual appropriation of the knowledge and encourages individuals to defend their own opinions.
The change in teams configuration does not help consolidation of social bonds but the effect is mitigated by the incremental way groups are aggregated.
",23,,,,,,,,,,
Technique,PYRAMID (FOR LIST PREPARATION) - PHASE II,"In Phase II of a Pyramid, the previous Teams are merged (individuals will form pairs, pairs will form teams of four) and each team will generate a new list satisfying each member. The aim is to reach agreement drawing on the results of the first phase. ",,43,,,,,,,,,,
Technique,PYRAMID (FOR LIST PREPARATION) - PHASE III,"Phase III of a Pyramid entails a plenary session in which the various lists produced in the previous phase are presented and discussed, with the aim of generating a single, shared version that satisfies all.",,44,,,,,,,,,,
Technique,PYRAMID (FOR PROBLEM SOLVING) - PHASE I,"In Phase I of a Pyramid, the teacher presents a topic and provides individual learners with material for them to study. He then asks them to work out a solution to a given problem individually or in pairs. ","It favours a gradual appropriation of the knowledge and encourages individuals to defend their own opinions.
The change in teams configuration does not help consolidation of social bonds but the effect is mitigated by the incremental way groups are aggregated.
",45,,,,,,,,,,
Technique,PYRAMID (FOR PROBLEM SOLVING) - PHASE II,"In Phase II of a Pyramid, the previous Teams are merged (individuals will form pairs, pairs will form teams of four) and each of the new teams will work out a new solution satisfying each member. The aim is to reach agreement drawing on the results of the first phase. ",,46,,,,,,,,,,
Technique,PYRAMID (FOR PROBLEM SOLVING) - PHASE III,"Phase III of a Pyramid entails a plenary session in which a new shared solution is generated, based on the previous ones.  ",,47,,,,,,,,,,
Technique,PEER REVIEW - PHASE I,"In Phase I of a Peer Review, the teacher presents the topic and asks the learners to study selected study materials. Then, the learners, individually or placed in pairs or small groups, are asked by the teacher to produce an artefact on the studied topic.","In Phase II, teachers should make sure that reviewers play the critical friend, not the assessor. Thus, better avoiding peer grading and encourage constructive feedback. The teams stay the same thoughout the technique, which helps consolidating the relationships between members. When the feedback concerns group work rather than individual work, the effect is less frustrating. ",38,,,,,,,,,,
Technique,PEER REVIEW - PHASE II,"In Phase II of a Peer Review, each learner or pair or small group comments on the artefacts that their peers have produced in Phase I, by providing suggestions on how the artefact might be improved. The group size is the same as in the previous phase. Regarding the 'direction' of feedback, it may be provided reciprocally (A gives feedback to B, and B to A) or in a circle (A to B, B to C, C to A).",,39,,,,,,,,,,
Technique,PEER REVIEW - PHASE III,"In Phase III of a Peer Review, the learners (in the same teams as in Phase I) produce a new version of their original artifact based on the feedback. At the conclusion, they present their work to the others in a plenary session.",,40,,,,,,,,,,
Technique,CASE STUDY - PHASE I,"In Phase I of a Case Study, the teacher presents a topic - typically a problem - and provides learners with material for them to study. Then the learners, in pairs or small groups, are asked to solve that problem.   ","In Phase I, students can help each other in finding a solution to the problem. 
In Phase II, they all see their peers solutions and learn by appreciating the differences. This comparison helps generate an indirect feedback, less frustrating and sometimes more effective than direct feedback.
",41,,,,,,,,,,
Technique,CASE STUDY - PHASE II,"In Phase II of a Case Study, the learners individually examine the different solutions and then hold a plenary discussion intended to spotlight the pros and cons of each solution.  ",,42,,,,,,,,,,
Technique,DISCUSSION - PHASE I (ALL CASES),"In Phase I of a Discussion, the teacher presents a topic and asks learners to gather information from the web, which will then be debated in a plenary session. ","In Phase I information can be gathered from sources of different types (text/audio/video) and different languages thus facilitating non-native speakers, and in Phase II the production of graphical or tangible artifacts can mitigate the linguistic problems. ",48,,,,,,,,,,
Technique,DISCUSSION (TOWARDS ASSIGNMENT) - PHASE II,"In Phase II of a Discussion, the students draw on the information that’s been gathered and carry out an assignment working individually, in pairs or in small groups.",,49,,,,,,,,,,
Technique,DISCUSSION (TOWARDS ARTEFACT) - PHASE II,"In Phase II of a Discussion, the students draw on the information that’s been gathered and produce an artefact working individually, in pairs or in small groups.",,50,,,,,,,,,,
Technique,DISCUSSION (TOWARDS TEXT) - PHASE II,"In Phase II of a Discussion, the students draw on the information that’s been gathered and write a text working individually, in pairs or in small groups.",,51,,,,,,,,,,
Technique,ROLE PLAY - PHASE I,"In Phase I of a Role Play, the teacher outlines a problematic situation and suggests a set of roles (or viewpoints) that can be taken to deal with that situation. The learners are then split into groups and group members assume roles. Then, the learners are asked to study some selected material. ","The different roles help students to relieve the students from the fear of expressing their own opinions.
Putting students in the shoes of others is a good way to make them experience the problems and the point of view of their peers, thus favouring inclusion. Hence, teachers shall encourage students in assuming unfamiliar roles.",52,,,,,,,,,,
Technique,ROLE PLAY - PHASE II,"In Phase II of a Role Play, group members (as in phase I) work together to deal with the situation and prepare a presentation. In doing so, each of the group members plays the role chosen in Phase I, voicing the viewpoint of that role to negotiate the presentation content. At the conclusion, the groups present their work in a plenary session. ",,53,,,,,,,,,,
Technique,,,,36,162,,,,,,,,,
Team,INDIVIDUAL LEARNERS,"Individuals working separately. Many tasks - like ""Writing a text"", ""Preparing a list"", ""Commenting on someone else’s work"" - can easily be performed either individually or in group. Some, such as ""Studying"", actually lend themselves best to individual work. Individual tasks are generally faster to complete than group work, as there is no negotiation involved. On the other hand, peer interaction can generate a rich learning experience and multiple contributions can significantly improve the final outcome.","Although individual work does not favour socialization and inclusion, sometimes it is necessary to have students study or work autonomously, possibly with tasks and technologies tailored to individual needs. ",24,25,26,27,,,,,,,
